iter	Passed	Remaining
0	0	89
1	1	81
2	2	73
3	2	69
4	3	65
5	4	62
6	4	61
7	5	59
8	5	57
9	6	57
10	7	57
11	7	56
12	8	56
13	9	55
14	9	55
15	10	54
16	11	54
17	11	53
18	12	52
19	12	51
20	14	52
21	14	52
22	15	51
23	16	50
24	16	50
25	17	49
26	17	48
27	18	47
28	18	46
29	19	45
30	20	44
31	20	43
32	21	42
33	21	42
34	22	41
35	22	40
36	23	39
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	35
43	27	34
44	27	33
45	28	33
46	28	32
47	29	32
48	30	31
49	30	30
50	31	30
51	31	29
52	32	28
53	32	28
54	33	27
55	34	26
56	34	26
57	35	25
58	35	24
59	36	24
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	19
68	41	18
69	41	17
70	42	17
71	42	16
72	43	16
73	44	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	51	8
86	52	7
87	52	7
88	53	6
89	53	5
90	54	5
91	55	4
92	55	4
93	56	3
94	56	2
95	57	2
96	57	1
97	58	1
98	58	0
99	59	0
